Time;Size1;Count1 (TC);Size2;Count2 (TC);Size3;Count3 (TC);Size4;Count4 (TC);Size5;Count5 (TC);Size6;Count6 (TC);AT (C);RH (%);Location;Seconds;A1Size;A2Size;Status;
2023-02-01 17:06:41;0,3;3400;0,5;2387;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:42;0,3;3366;0,5;2311;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:43;0,3;3379;0,5;2455;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:44;0,3;3315;0,5;2497;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:45;0,3;3131;0,5;2260;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:46;0,3;3257;0,5;2373;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:47;0,3;3441;0,5;2488;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:48;0,3;3328;0,5;2556;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:49;0,3;3388;0,5;2603;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:50;0,3;3422;0,5;2439;1;2;1,5;1;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:51;0,3;3428;0,5;2529;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:52;0,3;3381;0,5;2596;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:53;0,3;3309;0,5;2491;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:54;0,3;3113;0,5;2360;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:55;0,3;3273;0,5;2489;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:56;0,3;3514;0,5;2784;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:57;0,3;3356;0,5;2359;1;2;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:58;0,3;3260;0,5;2354;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:59;0,3;3335;0,5;2356;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:00;0,3;3392;0,5;2351;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:01;0,3;3633;0,5;2634;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:02;0,3;3302;0,5;2433;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:07:03;0,3;3208;0,5;2384;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
